Item ID,Sentiment,SentimentText,Clean_text
25,5,@RailMinIndia hi sir.i need help from u.my wife and my son of 4years is hvng waiting ticket 4-1st AC of pnr 2119063322of bilaspur rajhdhani,hi siri need help umy wife son year hvng waiting ticket st ac pnr bilaspur rajhdhani
26,3,"@RailMinIndia @drmbct @sureshpprabhu paschim express, vendor doesn't give food mentioned in the menu, so ppl have no option 2 food of choice",paschim express vendor doesnt give food mentioned menu ppl option food choice
27,5,"@RailMinIndia hello sir I want going to village, I have no money buy of ticket .what i do plz help me",hello sir i want going village i money buy ticket plz help
28,4,RT @prateekpharmpt: @RailMinIndia Everyday magadh exp 12401 running late 3to 5 hrs without any reson.  Is anyome have responsibility. Pâ¦ ,rt everyday magadh exp running late hr without reson is anyome responsibility pâ
29,1,"@RailMinIndia @sureshpprabhu My bro lost his luggage, luks like by rail officials at dindigul station. PNR:4840503630,ph. 9994437217,pl help",my bro lost luggage luks like rail official dindigul station pnrph pl help
30,7,@RailMinIndia @vivek05102229 Kindly share PNR number &amp; contact number.,kindly share pnr number amp contact number
31,0,"@RailMinIndia in train no. 12183, there is no water i. Coach no. SE-4 for use in toilets",train water coach se use toilet
32,4,@RailMinIndia what's the reason behind the delay of 9 hours of 14312 ala hazrat exp. We had to go back home from station.,whats reason behind delay hour ala hazrat exp we go back home station
33,0,@RailMinIndia - pathetic and dirty toilet of B1 and A1 of 22940 bilaspur Hapa express.Please help.,pathetic dirty toilet b a bilaspur hapa expressplease help
34,6,@RailMinIndia @khushalvakharia Poor service by railways.,poor service railway
35,0,@RailMinIndia no water in train no. 18104 after running of 5 hrs.,water train running hr
36,4,@sureshpprabhu sir if it is further delayed it clash will with academic session @RailMinIndia https://t.co/rOK3sJldqa,sir delayed clash academic session httpstcoroksjldqa
37,4,@RailMinIndia @sureshpprabhu  frm Jbp to Patna pnr 83478 48608.will this reach on time?It is ruing like pasr not SF :(.tol disappointing,frm jbp patna pnr reach timeit ruing like pasr sf tol disappointing
38,5,@RailMinIndia  I tried to cancel my I ticket before chart preparation. But due to login problem i was unable to do so Pnr no. is-2119194363,i tried cancel i ticket chart preparation but due login problem unable pnr
39,6,"I applaud Indian Railway 4commendable service.We had issue with charging pt, attendants quickly came,plucked entireâ¦ https://t.co/IenAa6lzLj",i applaud indian railway commendable servicewe issue charging pt attendant quickly cameplucked entireâ httpstcoienaalzlj
40,7,@RailMinIndia @RupSgsits @ed_eeg @drmsbc Matter notified to officials concerned @electrlbzascr,matter notified official concerned
41,4,@sureshpprabhu @RailMinIndia   train no. 12497 stuck at bhodwal st. And no one to help . No one is telling the reasone for delay . PL. HELP,train stuck bhodwal st and one help no one telling reasone delay pl help
42,4,@RailMinIndia Railway was never been so irresponsible. so called fake development is happening. railway was never been so irresponsible. ????,railway never irresponsible called fake development happening railway never irresponsible
43,1,"@sureshpprabhu @RailMinIndia @IRCTC_Ltd plz hlp,He is missing since 15 days&amp; today sum1 has seen him at ADI station https://t.co/FHSjhfKb4L",plz hlphe missing since daysamp today sum seen adi station httpstcofhsjhfkbl
44,0,@sureshpprabhu @RailMinIndia PNR 2119050261 train no. 12472 coach A1 ac is not working since the start of journey from Jammu Tavi,pnr train coach a ac working since start journey jammu tavi
45,0,"@sureshpprabhu sir at Old Delhi Railway station bag scanning machine not working,no checkpoint for luggage check.@RailMinIndia.",sir old delhi railway station bag scanning machine workingno checkpoint luggage check
46,1,"@RailMinIndia @Parashuram_vns Sir, FIR lodged by GRP/Satna vide Cr.No. 039/16 U/S 380 IPC has been transferred to GRP/Allahabad.",sir fir lodged grpsatna vide crno us ipc transferred grpallahabad
47,4,"@RailMinIndia it means make extra late a train running late by 3.00 hrs. In summer season, not in winter when too much fog was in atmosphere",mean make extra late train running late hr in summer season winter much fog atmosphere
48,3,@RailMinIndia RPF at some serious eating business. Pantry is for them not for passengers. Shri Shakti exp today https://t.co/L7xnUt8d78,rpf serious eating business pantry passenger shri shakti exp today httpstcolxnutd
49,5,@RailMinIndia @sureshpprabhu : TT should regularly visit First Class for pass/ticket checking...,tt regularly visit first class passticket checking
50,4,@RailMinIndia @srdcmbsb @gmner_gkp Pls tell me T. no 55150 will originate today from BCY or not?,pls tell t originate today bcy
51,4,@RailMinIndia below stated train waste almost one and half hour on platform please try to fix up less time!!! Help https://t.co/eFBcgrduwr,stated train waste almost one half hour platform please try fix less time help httpstcoefbcgrduwr
52,3,@sureshpprabhu @RailMinIndia IRCTC canteen in mysore selling water 5rs more than MRP. Just bought for 20/- https://t.co/yPfqZfPA17,irctc canteen mysore selling water r mrp just bought httpstcoypfqzfpa
53,0,"@sureshpprabhu ?? iam also Indian citizen and Tandur station also in India.... No action, no reply, no water @RailMinIndia @SCRailwayIndia",iam also indian citizen tandur station also india no action reply water
54,4,@RailMinIndia 18237 engine failed at silyari they still making the announcement that train is coming they should announce the expected time,engine failed silyari still making announcement train coming announce expected time
55,5,@rpfcrsur @RailMinIndia how many months or should i say years should i wait for the Conscience of #CORRUPT #ROTTENâ¦ https://t.co/2h0v7KWzgy,many month say year wait conscience corrupt rottenâ httpstcohvkwzgy
56,4,"@RailMinIndia @sanjaygupta2012 Train handled over late by more than 6 hours from previous division, @drmjabalpur @drmncrald  kindly update.",train handled late hour previous division kindly update
57,5,@RailMinIndia @sureshpprabhuSir at new delhi station only one counter is working for platform ticket... huge line nd people waiting..,new delhi station one counter working platform ticket huge line nd people waiting
58,4,@RailMinIndia @PiyushGoyal @RailwayNorthern My parents are travelling in 15231 pnr no. 6408164808 the coach S5 is nâ¦ https://t.co/Ig9TPufytc,my parent travelling pnr coach s nâ httpstcoigtpufytc
59,5,@RailMinIndia @sureshpprabhu I want to know y the waiting list ticket can't be cancelled at the same time of departure of the train?,i want know waiting list ticket cant cancelled time departure train
60,4,@RailMinIndia @drmumb 14208 held up between bareilly and shahjanpur. Delayd by 2.5 hrs. No other train on route is delyd. Y 14208 victimizd?,held bareilly shahjanpur delayd hr no train route delyd y victimizd
61,2,@sureshpprabhu @RailMinIndia I Request for doctor for pain killer injection at rewari stn in 19718 no one arrived its urgent matter,i request doctor pain killer injection rewari stn one arrived urgent matter
62,5,"@RailMinIndia  Train no: 12017. Pnr: 2646724070. Reserved 2 tckts, 1 wtng. If only chair seats, then why allow waiting in shatabdi trains.",train pnr reserved tckts wtng if chair seat allow waiting shatabdi train
63,0,"@RailMinIndia @sureshpprabhu pnr no: 8747892216,train no : 22981, Coach:S7, All Fan is not working in coach S7, mercury is too high,plz help",pnr train coachs all fan working coach s mercury highplz help
64,5,@RailMinIndia tried tatkal booking for Delhi Goa Rajdhani at Jalandar city railway station but was not supported by the staff,tried tatkal booking delhi goa rajdhani jalandar city railway station supported staff
65,5,"@sureshpprabhu @RailMinIndia i m hvng ac with irctc &amp; today i ws loged in at 8am,i hv seen da within 8.01 am all ac tickets r sold.",hvng ac irctc amp today w loged ami hv seen da within ac ticket r sold
66,4,"@RailMinIndia @sureshpprabhu incorrect TDR claim prcsd..rqst hve a look TDR no. 100000105731626, train 3+ hr late https://t.co/BBStWoiDpe",incorrect tdr claim prcsdrqst hve look tdr train hr late httpstcobbstwoidpe
67,4,"@RailMinIndia sir,train is 4 hrs late .train no is 15623.I have also to attend the train guwahaty naharlagun intercity express for itanagar.",sirtrain hr late train i also attend train guwahaty naharlagun intercity express itanagar
68,5,@sureshpprabhu @RailMinIndia Train no. 12344 Coach B3. TT accepted bribe &amp; allotted seats to W/L passengers instead of RAC seats.@gm_nfr,train coach b tt accepted bribe amp allotted seat wl passenger instead rac seat
69,7,@RailMinIndia @RahmanAnsariBOI @drmlko25 Kindly look into this,kindly look
70,5,@sureshpprabhu @RailMinIndia @narendramodi screen img @06.46 am 09.06.2016 FYR. No TatkaL quota without opng. GREAT! https://t.co/8YpfwlbzRt,screen img fyr no tatkal quota without opng great httpstcoypfwlbzrt
71,6,@RailMinIndia @rajtoday @Akkibhatkar @Shrikant2025 @ThaneMt @thane_now @MumbraKiAwaam @PiyushGoyal @mumbairailusersâ¦ https://t.co/jLmGKbbWyO,httpstcojlmgkbbwyo
72,4,RT @KARailway: Provide 1min stoppage for Karnataka Sampark Kranthi at #Haveri @DrmMys @GMSWR @RailMinIndia @PiyushGoyalOffcâ¦ ,rt provide min stoppage karnataka sampark kranthi haveri
73,4,"@RailMinIndia ????? ???? 22415 , current location ????????? , B6 coach , AC ???? ?? ???, ??? ??? ??? ????",current location b coach ac
74,5,@RailMinIndia amount debited but reservation failed. Request support  and pay back of entire amount https://t.co/9pH2Vft28L,amount debited reservation failed request support pay back entire amount httpstcophvftl
75,6,@sureshpprabhu Pls consider having more nos western toilets in 2/3 Ac coaches as many elderly travel who hv  problems. @RailMinIndia Thnx,pls consider no western toilet ac coach many elderly travel hv problem thnx
76,5,@sureshpprabhu @RailMinIndia I am a mother travelling with a 6 month kid is given an upper berth instead of providing the details of baby.,i mother travelling month kid given upper berth instead providing detail baby
77,6,@sureshpprabhu @RailMinIndia thanks for give attention on meerut 2 saharanpur railway line ..,thanks give attention meerut saharanpur railway line
78,6,@RailMinIndia @sureshpprabhu many will be benifited thanks a lot sir,many benifited thanks lot sir
79,0,@RailMinIndia  traveling in 12506 dt 11/06/16  in S3 toilets fully dirty and no water in toiletKindly arrange help urgentlyPNR 264-7351440,traveling dt s toilet fully dirty water toiletkindly arrange help urgentlypnr
80,4,@RailMinIndia train time changed not informed family stuck in Mangalore. Pls add time  to sms https://t.co/38vnoZVOHC,train time changed informed family stuck mangalore pls add time sm httpstcovnozvohc
81,5,@RailMinIndia @sureshpprabhu I had heard that irctc will not charge Service charge from 1/6/16 on online ticket but u r still deducting!!!!!,i heard irctc charge service charge online ticket u r still deducting
82,5,"@RailMinIndia tatkal service is d biggest garbage. Plz close this service,@11:05 website is not working,showing an error.",tatkal service biggest garbage plz close service website workingshowing error
83,5,@RailMinIndia @sureshpprabhu I got my ticketThanku  problem solved by CERS Bilimora PRS. I withdraw my complaint.. https://t.co/TKisGN6uNY,i got ticketthanku problem solved cers bilimora prs i withdraw complaint httpstcotkisgnuny
84,5,"tt declining to accept the college id a true id , higher authorities do act pnr 4512791357",tt declining accept college id true id higher authority act pnr
85,0,"@RailMinIndia I am traveling by train no 12590 coach no S-8, fans are not working i had told this  at last station but no one attended.",i traveling train coach s fan working told last station one attended
86,4,@RailMinIndia concern over the late running of 14205 n 14206. Never reaches in time at either of station. Pl check ur data. A real concern,concern late running n never reach time either station pl check ur data a real concern
87,0,"@RailMinIndia travelling in train no 18623,Pnr 6252708712 1st class b coach, paid around 1700,  AC is not working properly@sureshpprabhu",travelling train pnr st class b coach paid around ac working properly
88,5,@RailMinIndia How it possible in Tatkal that all the 256 Available Garib Rath seats r booked within 1.5 min.? Is there any hidden tricks?,how possible tatkal available garib rath seat r booked within min is hidden trick
89,6,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it toâ¦ ,rt why procuring congress mouthpiece national herald priced hefty rs piece amp providing toâ
90,5,"@sureshpprabhu Sir, need ur kind assistance. A cancer patient hs a tatkal ticket of status CKWL/19,20. Can u plz do something? @RailMinIndia",sir need ur kind assistance a cancer patient h tatkal ticket status ckwl can u plz something
91,3,@RailMinIndia Hello sir mai is time malwa express train number 12919 me hu abhi vendor se khane ke rate pucha usneâ¦ https://t.co/fJBoC3R5yR,hello sir mai time malwa express train number hu abhi vendor se khane ke rate pucha usneâ httpstcofjbocryr
92,4,@RailMinIndia Pls confirm whn we will reach as we need to attend the function and if it is late schedule arrival at Barelliye,pls confirm whn reach need attend function late schedule arrival barelliye
93,4,@RailMinIndia Travel wth my mother can't walk properly. Can the PTB stoppage be extended by 2 mins PNR No. :2118501258Train No. 12618.,travel wth mother cant walk properly can ptb stoppage extended min pnr no train no
94,1,"@RailMinIndia  Sir, We lost a mobile with bearing No 9442455386 while travelling in Pothigai express Train No 12661 today at 5.15 am",sir we lost mobile bearing no travelling pothigai express train no today
95,6,@RailMinIndia @drmnfr_lmg @IR_ENHM till now no action has been taken,till action taken
96,7,"RT @irctcwestzone: @RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",rt inconvenience regretted matter taken necessary action
97,5,@RailMinIndia I ask city police constable allowed without ticket and without authority in any coach in train,i ask city police constable allowed without ticket without authority coach train
98,6,"@RailMinIndia @SRailwayIndia Janani Sewa launched-Infant food now available at NVRR Platform-2,Palakkad Jn. https://t.co/fAS6JdTbgu",janani sewa launchedinfant food available nvrr platformpalakkad jn httpstcofasjdtbgu
99,0,@RailMinIndia  Dear sir...AC of sabarmati express is not working since last 4 hours.. Please do the needful.PNR 2864717564,dear sirac sabarmati express working since last hour please needfulpnr
100,5,@RailMinIndia there is no any intimation by railway about the tatkal ticket cancelation PNR n-2319127483 Trn n12430 96964500028004198641,intimation railway tatkal ticket cancelation pnr n trn n
101,5,"@RailMinIndia sir my train ticket is not comform from Abu Road to Mumbai, my mother is sick, plz help sirPNR NO 2217892889DOJ 9.6.16",sir train ticket comform abu road mumbai mother sick plz help sirpnr no doj
102,5,@RailMinIndia Sir...........I am trying to make tickets from new delhi to darbhanga(Bihar) from last week not getting confirm.please help,siri trying make ticket new delhi darbhangabihar last week getting confirmplease help
103,3,@sureshpprabhu @RailMinIndia  sir train no 12488 have no Pantry Car....and important thing is that it is long route train....,sir train pantry carand important thing long route train
104,5,@RailMinIndia got double tatkal tickets cnfrmd through same Login costing 12k technical issue costed double[IRCTC #3515189] @drmsecunderabad,got double tatkal ticket cnfrmd login costing k technical issue costed doubleirctc
105,3,"@RailMinIndia @sureshpprabhu our pnr is 8403479266 food is pathetic, water is not cool, cold drings is warm and sandwitch is stale....",pnr food pathetic water cool cold drings warm sandwitch stale
106,6,"@RailMinIndia Thanks for UTS app for facilitating hassle free travel, but it's good to provide training for TC's also.@BhargavaTadi",thanks uts app facilitating hassle free travel good provide training tcs also
107,1,hanging chains of the middle berth broken  pnr 4512791357,hanging chain middle berth broken pnr
108,4,@sureshpprabhu @RailMinIndia if you have delayed for me then thank you so muchBoarded on train thank you so much again,delayed thank muchboarded train thank much
109,0,@sureshpprabhu @RailMinIndia @gmner_gkp @DRM_ASN Train 15047  light are not working passengers are suffering #Help https://t.co/6fnIJV8Vga,train light working passenger suffering help httpstcofnijvvga
110,5,@RailMinIndia PNR NO. 6107451949,pnr no
111,6,@RailMinIndia... security lags at delhi sarai Rohilla Rly stn... No checking... Xray scnr ws der but no body to operate that,security lag delhi sarai rohilla rly stn no checking xray scnr w der body operate
112,4,@sureshpprabhu @RailMinIndia booked ticket for 14312 ADI to JP. Train is late by more than 8 hrs. Want to cancel the reservn bt not allowng,booked ticket adi jp train late hr want cancel reservn bt allowng
113,0,@RailMinIndia @sureshpprabhu 18546 East cost express sleeper class S9 toilet is too smelling from source station.,east cost express sleeper class s toilet smelling source station
114,4,@RailMinIndia unable to trace my Parcel from delhi. I m from cbe. Parcel off staff have no idea whether material loaded or not. Wat do i do,unable trace parcel delhi i cbe parcel staff idea whether material loaded wat
115,5,14316 TTE comes only after hapur stn when majority of ticketless passengers have deboarded. It's useless to buy ticâ¦ https://t.co/aNSeZwgOwT,tte come hapur stn majority ticketless passenger deboarded its useless buy ticâ httpstcoansezwgowt
116,2,@RailMinIndia we are traveling in 19806 we have child who is vomiting much and water is not in any coach. Plz fill water in coaches and help,traveling child vomiting much water coach plz fill water coach help
117,6,@RailMinIndia @khushalvakharia Thatâs poor railways.poor very poor.,thatâs poor railwayspoor poor
118,0,@RailMinIndia sir ye sab hal habibaganj station (m.p) Bhopal ka hai toilet ka hai https://t.co/qXotLh1TtX,sir ye sab hal habibaganj station mp bhopal ka hai toilet ka hai httpstcoqxotlhttx
119,0,"@RailMinIndia @sureshpprabhu PNR - 6756068777, AC not working, dirty towel and pillow cover.",pnr ac working dirty towel pillow cover
120,0,@RailMinIndia - fan not working on 12673 Cheran Express S11 70,fan working cheran express s
121,5,"@RailMinIndia I'm Cancer Pt When I booked   tkt fr checkup with my brother as escort,they say no possiblities of tkt fr my daugh 6yr(1/2 tkt",im cancer pt when i booked tkt fr checkup brother escortthey say possiblities tkt fr daugh yr tkt
122,4,@RailMinIndia @sureshpprabhu I'm a passenger in Aleppey-Chennai Superfast train. Hoping to catch at least last bus. :(#indianrailwaydelay,im passenger aleppeychennai superfast train hoping catch least last bus indianrailwaydelay
123,3,"@RailMinIndia Dear sir, The food served in most of shatabdi trains is substandard ,dal and paneer is tasteless.",dear sir the food served shatabdi train substandard dal paneer tasteless
124,0,@RailMinIndia there is huge huge scope to improve #train bathroom.. they r extremely dirty &amp; spread germs @sureshpprabhu #mumbai #india,huge huge scope improve train bathroom r extremely dirty amp spread germ mumbai india
125,3,@RailMinIndia @sureshpprabhu at patna jn pf- 3 shop exprss food delvry chargng 20 rs for 15 rs water bottle.pls take action. PNR:6553173362,patna jn pf shop exprss food delvry chargng r r water bottlepls take action pnr
126,1,@RailMinIndia Train about to arrive window clerk  Sadhana Sharma goes missing https://t.co/IowsfPtApN,train arrive window clerk sadhana sharma go missing httpstcoiowsfptapn
127,5,"@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc If your clerk can give tickets than why he is not giving, why u advertisiâ¦ https://t.co/teieqXvILl",if clerk give ticket giving u advertisiâ httpstcoteieqxvill
128,5,"@RailMinIndia Sir i m ankit singh previous day i had booked a ticket in tatkal quota but i get wt list please help me, Pnr no 6453141801",sir ankit singh previous day booked ticket tatkal quota get wt list please help pnr
129,1,"@RailMinIndia @AbhayOjhaIn @atulmishrag1981 Sir,said missing person could not be traced despite best effort.Pl lodge missing report with GRP",sirsaid missing person could traced despite best effortpl lodge missing report grp
130,4,@RailMinIndia PNR4740479198 coaches D1 and D2 are missing in the train. Please check it. Because of this I had to miss the train,pnr coach d d missing train please check because i miss train
131,4,@RailMinIndia I have a booking in Train Number 07006 RXL-HYB special from Gaya but when I want to see the current sâ¦ https://t.co/iI4vB2JJ8S,i booking train number rxlhyb special gaya i want see current sâ httpstcoiivbjjs
132,5,"@RailMinIndia Now, refund of ?780 only will be credited to my account soon, where is balance amount of ?143?Why this much of amount will...",now refund credited account soon balance amount why much amount
133,7,"@DRMbhopal @RailMinIndia @sanjaygupta2012 sorry for inconvenience ,matter noted to @OPTGBSL",sorry inconvenience matter noted
134,4,@drm_apdj @RailMinIndia 12378 really shameful almost after 1 he train has departed from source and in 1st tweet traâ¦ https://t.co/lPUA5R1kqf,really shameful almost train departed source st tweet traâ httpstcolpuarkqf
135,6, User id: macrohit Date of booking : 28-11-17,user id macrohit date booking
136,1,"@RailMinIndia I'm travelling in 64563 at present, no security man here nd gents are travelling in ladies coach. Train is abt 2 reach morinda",im travelling present security man nd gent travelling lady coach train abt reach morinda
137,3,"@RailMinIndia , availability is less and requirement is high, but food vendor is not provoded proper response. Every item 5,10 rupees extra",availability less requirement high food vendor provoded proper response every item rupee extra
138,6,Scenic #IndianRailways near #Igatpuri on #Mumbai - #Nasik route. #ThullGhat #KamayaniExpress @RailMinIndiaâ¦ https://t.co/nnkI29oaEL,scenic indianrailways near igatpuri mumbai nasik route thullghat kamayaniexpress httpstconnkioael
139,5,@RailMinIndia Unable to file TDR of my PNR NO - 8535014323 in last hour. Allowing wrong thing for TC,unable file tdr pnr no last hour allowing wrong thing tc
140,0,"@RailMinIndia travlng by 12328 trn Bi coach, surprised to find one toilet under lock n key. As such no word of cleanliness prevail in train",travlng trn bi coach surprised find one toilet lock n key as word cleanliness prevail train
141,6,@RailMinIndia i feel like it will work as intercity trains carry maximum job proffessionals who have to reach office neat and clean,feel like work intercity train carry maximum job proffessionals reach office neat clean
142,2,@RailMinIndia need medical assistance in train 12554 pnr is 2417720180,need medical assistance train pnr
143,3,many passengrs pnr 4512791357 feeling stomach upset after dinner frm railways pantry ,many passengrs pnr feeling stomach upset dinner frm railway pantry
144,5,@sureshpprabhu trying to book a tatkal ticket from last 3 day but daily same problem exist. Please do some needful @RailMinIndia,trying book tatkal ticket last day daily problem exist please needful
145,6,@drmdelhi @RailMinIndia @srdomchgdli No reply..,no reply
146,0,"@sureshpprabhu @RailMinIndia .. be it sleeper or AC, broken windows, rats and cockroaches moving freely, dirty old curtains and bed... (4)",sleeper ac broken window rat cockroach moving freely dirty old curtain bed
147,3,@RailMinIndia @sureshpprabhu at TNDE railway station water cooler not working and not a single source of water a hell of service In 45C,tnde railway station water cooler working single source water hell service in c
148,0,@RailMinIndia it's 20:40 train is in kota but no one contacted or solves the Airconditioner matter in 12218 A1,train kota one contacted solves airconditioner matter a
149,1,@RailMinIndia When Evrythng of Railways is going 2 d Next Level y not Security Guard?Ur Fairly Place Kol ofc Securities r rude n misbehaved,when evrythng railways going next level security guardur fairly place kol ofc securities r rude n misbehaved
150,7,"@RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",inconvenience regretted matter taken necessary action
151,4,RailMinIndia @bbiswajit88 Details not available pls.,railminindia details available pls
152,5,"@RailMinIndia No one is able to make TATKAL TICKETS except brokers at JPG station,take an immediate action now. railway staffs are with them",no one able make tatkal tickets except broker jpg stationtake immediate action railway staff
153,6,RT @RailMinIndia: Passenger traffic has also shown significant growth in Reserved &amp; suburban segments.Over  5Cr additional passengersâ¦ ,rt passenger traffic also shown significant growth reserved amp suburban segmentsover cr additional passengersâ
154,4,"@DRMbhopal @RailMinIndia @BhusavalDivn Train departed from itarsi but concerned is delay, what if I miss flight dueâ¦ https://t.co/UyQIYzIFcJ",train departed itarsi concerned delay i miss flight dueâ httpstcouyqiyzifcj
155,7,@DArpitBhargava @WesternRly @sureshpprabhu @PiyushGoyal @IndianRailMedia @RailMinIndia @DRM_Agra  kindly look into this,kindly look
156,0,@RailMinIndia PNR-2118939314Trn:12616Dt:10-06-2016Frm NGP to CD AC IS NOT WORKING FROM LAST HALF &amp; HOUR,pnrtrndtfrm ngp cd ac is not working from last half amp hour
157,1,"@RailMinIndia 2 bags with valuables stolen. How safe is travel on Indian Rail! PNR-8145511I31,8345511270 @sureshpprabhu",bag valuable stolen how safe travel indian rail pnri
158,1,@CIDCO_Ltd @RailMinIndia @PiyushGoyal @PiyushGoyalOffc No light @Rabale stn plz check https://t.co/rvIz9LYKCF,no light stn plz check httpstcorvizlykcf
159,4,@sureshpprabhu @RailMinIndia Sealdah Delhi Rajdhani 12313 is running 3 hrs late. Pls do something abt it as its urgent to reach Delhi.,sealdah delhi rajdhani running hr late pls something abt urgent reach delhi
160,6,@RailMinIndia @sureshpprabhu Brave work of RPF soldier at Railway Station - https://t.co/LjwyH2XDYM https://t.co/UkvbP3is4O,brave work rpf soldier railway station httpstcoljwyhxdym httpstcoukvbpiso
161,4,@RailMinIndia @sureshprabhubjp Sir 12944 is running late by 1 and half hour..please help us,sir running late half hourplease help u
162,7,"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but couâ¦",rt glad inform amp confirmed multiple source newspaper distributed railway officially couâ
163,0,So this is what India railways looks like. Can't get any better !! @IRCTC_Ltd @IndianRailMedia @RailMinIndiaâ¦ https://t.co/BKKYAL68oY,so india railway look like cant get better httpstcobkkyaloy
164,7,@DRMbhopal @satyavsingh @RailMinIndia Sorry for inconvenience complaint will be attend at ITARSI,sorry inconvenience complaint attend itarsi
165,5,@RailMinIndia current booking thr wr only 2 seat in ac2 so cant get confirmed..current booking wtng 1 in ac 2,current booking thr wr seat ac cant get confirmedcurrent booking wtng ac
166,6,"@RailMinIndia Look outside the boundary wall of Old Delhi Rly Stn.  Mess. by vendors, accumulated garbage, traffic jam , unusable urinals.",look outside boundary wall old delhi rly stn mess vendor accumulated garbage traffic jam unusable urinal
