Item ID,Sentiment,SentimentText,SentimentText_Copy
21,4,@sureshpprabhu @RailMinIndiaTrain EMU 64439 Ghaziabad to New Delhi daily late.Kindly check &amp; resolved issue.,emu  ghaziabad to new delhi daily latekindly check amp resolved issue
22,1,"@RailMinIndia @YourSKD Sir, FIR lodged by GRP/Bandikui vide Cr.No. 34/16 U/S 380 IPC",sir fir lodged by grpbandikui vide crno  us  ipc
23,0,@RailMinIndia  travelling from Howrah to cuttack in 12073 Jan Shatabdi exp in coach no C2. There is no cleanliness in the coach.,travelling from howrah to cuttack   jan shatabdi exp  coach no c   no cleanliness  the coach
24,0,@RailMinIndia there is no water n clear in Train No 12656 PNR 4837665503 please look into matter seriously,no water n clear  train no  pnr  please look into matter seriously
25,5,@RailMinIndia hi sir.i need help from u.my wife and my son of 4years is hvng waiting ticket 4-1st AC of pnr 2119063322of bilaspur rajhdhani,hi siri need help from umy wife and my son of years  hvng waiting ticket st ac of pnr of bilaspur rajhdhani
26,3,"@RailMinIndia @drmbct @sureshpprabhu paschim express, vendor doesn't give food mentioned in the menu, so ppl have no option 2 food of choice",paschim express vendor doesnt give food mentioned  the menu so ppl have no option  food of choice
27,5,"@RailMinIndia hello sir I want going to village, I have no money buy of ticket .what i do plz help me",hello sir i want going to village i have no money buy of ticket what i do plz help me
28,4,RT @prateekpharmpt: @RailMinIndia Everyday magadh exp 12401 running late 3to 5 hrs without any reson.  Is anyome have responsibility. Pâ¦ ,rt   everyday magadh exp  running late to  hrs without any reson   anyome have responsibility p
29,1,"@RailMinIndia @sureshpprabhu My bro lost his luggage, luks like by rail officials at dindigul station. PNR:4840503630,ph. 9994437217,pl help",my bro lost his luggage luks like by rail officials at dindigul station pnrph pl help
30,7,@RailMinIndia @vivek05102229 Kindly share PNR number &amp; contact number.,kindly share pnr number amp contact number
31,0,"@RailMinIndia in train no. 12183, there is no water i. Coach no. SE-4 for use in toilets",train no    no water i coach no se for use  toilets
32,4,@RailMinIndia what's the reason behind the delay of 9 hours of 14312 ala hazrat exp. We had to go back home from station.,whats the reason behind the delay of  hours of  ala hazrat exp we had to go back home from station
33,0,@RailMinIndia - pathetic and dirty toilet of B1 and A1 of 22940 bilaspur Hapa express.Please help.,pathetic and dirty toilet of b and a of  bilaspur hapa expressplease help
34,6,@RailMinIndia @khushalvakharia Poor service by railways.,poor service by railways
35,0,@RailMinIndia no water in train no. 18104 after running of 5 hrs.,no water  train no  after running of  hrs
36,4,@sureshpprabhu sir if it is further delayed it clash will with academic session @RailMinIndia https://t.co/rOK3sJldqa,sir if it  further delayed it clash will with academic session  httpstcoroksjldqa
37,4,@RailMinIndia @sureshpprabhu  frm Jbp to Patna pnr 83478 48608.will this reach on time?It is ruing like pasr not SF :(.tol disappointing,frm jbp to patna pnr  will this reach on timeit  ruing like pasr not sf tol disappointing
38,5,@RailMinIndia  I tried to cancel my I ticket before chart preparation. But due to login problem i was unable to do so Pnr no. is-2119194363,i tried to cancel my i ticket before chart preparation  due to login problem i was unable to do so pnr no
39,6,"I applaud Indian Railway 4commendable service.We had issue with charging pt, attendants quickly came,plucked entireâ¦ https://t.co/IenAa6lzLj",i applaud indian railway commendable servicewe had issue with charging pt attendants quickly cameplucked entire httpstcoienaalzlj
40,7,@RailMinIndia @RupSgsits @ed_eeg @drmsbc Matter notified to officials concerned @electrlbzascr,matter notified to officials concerned
41,4,@sureshpprabhu @RailMinIndia   train no. 12497 stuck at bhodwal st. And no one to help . No one is telling the reasone for delay . PL. HELP,train no  stuck at bhodwal st and no one to help  no one  telling the reasone for delay  pl help
42,4,@RailMinIndia Railway was never been so irresponsible. so called fake development is happening. railway was never been so irresponsible. ????,railway was never been so irresponsible so called fake development  happening railway was never been so irresponsible
43,1,"@sureshpprabhu @RailMinIndia @IRCTC_Ltd plz hlp,He is missing since 15 days&amp; today sum1 has seen him at ADI station https://t.co/FHSjhfKb4L",plz hlphe  missing since  daysamp today sum has seen him at adi station httpstcofhsjhfkbl
44,0,@sureshpprabhu @RailMinIndia PNR 2119050261 train no. 12472 coach A1 ac is not working since the start of journey from Jammu Tavi,pnr  train no  coach a ac  not working since the start of journey from jammu tavi
45,0,"@sureshpprabhu sir at Old Delhi Railway station bag scanning machine not working,no checkpoint for luggage check.@RailMinIndia.",sir at old delhi railway station bag scanning machine not workingno checkpoint for luggage check
46,1,"@RailMinIndia @Parashuram_vns Sir, FIR lodged by GRP/Satna vide Cr.No. 039/16 U/S 380 IPC has been transferred to GRP/Allahabad.",sir fir lodged by grpsatna vide crno  us  ipc has been transferred to grpallahabad
47,4,"@RailMinIndia it means make extra late a train running late by 3.00 hrs. In summer season, not in winter when too much fog was in atmosphere",it means make extra late a train running late by  hrs  summer season not  winter when too much fog was  atmosphere
48,3,@RailMinIndia RPF at some serious eating business. Pantry is for them not for passengers. Shri Shakti exp today https://t.co/L7xnUt8d78,rpf at some serious eating business pantry  for them not for passengers shri shakti exp today httpstcolxnutd
49,5,@RailMinIndia @sureshpprabhu : TT should regularly visit First Class for pass/ticket checking...,tt should regularly visit first class for passticket checking
50,4,@RailMinIndia @srdcmbsb @gmner_gkp Pls tell me T. no 55150 will originate today from BCY or not?,pls tell me t no  will originate today from bcy or not
51,4,@RailMinIndia below stated train waste almost one and half hour on platform please try to fix up less time!!! Help https://t.co/eFBcgrduwr,below stated train waste almost one and half hour on platform please try to fix up less time help httpstcoefbcgrduwr
52,3,@sureshpprabhu @RailMinIndia IRCTC canteen in mysore selling water 5rs more than MRP. Just bought for 20/- https://t.co/yPfqZfPA17,irctc canteen  mysore selling water rs more than mrp just bought for  httpstcoypfqzfpa
53,0,"@sureshpprabhu ?? iam also Indian citizen and Tandur station also in India.... No action, no reply, no water @RailMinIndia @SCRailwayIndia",iam also indian citizen and tandur station also  india no action no reply no water
54,4,@RailMinIndia 18237 engine failed at silyari they still making the announcement that train is coming they should announce the expected time,engine failed at silyari they still making the announcement that train  coming they should announce the expected time
55,5,@rpfcrsur @RailMinIndia how many months or should i say years should i wait for the Conscience of #CORRUPT #ROTTENâ¦ https://t.co/2h0v7KWzgy,how many months or should i say years should i wait for the conscience of corrupt rotten httpstcohvkwzgy
56,4,"@RailMinIndia @sanjaygupta2012 Train handled over late by more than 6 hours from previous division, @drmjabalpur @drmncrald  kindly update.",train handled over late by more than  hours from previous division    kindly update
57,5,@RailMinIndia @sureshpprabhuSir at new delhi station only one counter is working for platform ticket... huge line nd people waiting..,at new delhi station only one counter  working for platform ticket huge line nd people waiting
58,4,@RailMinIndia @PiyushGoyal @RailwayNorthern My parents are travelling in 15231 pnr no. 6408164808 the coach S5 is nâ¦ https://t.co/Ig9TPufytc,my parents are travelling   pnr no  the coach s  n httpstcoigtpufytc
59,5,@RailMinIndia @sureshpprabhu I want to know y the waiting list ticket can't be cancelled at the same time of departure of the train?,i want to know y the waiting list ticket cant be cancelled at the same time of departure of the train
60,4,@RailMinIndia @drmumb 14208 held up between bareilly and shahjanpur. Delayd by 2.5 hrs. No other train on route is delyd. Y 14208 victimizd?,held up between bareilly and shahjanpur delayd by  hrs no other train on route  delyd y  victimizd
61,2,@sureshpprabhu @RailMinIndia I Request for doctor for pain killer injection at rewari stn in 19718 no one arrived its urgent matter,i request for doctor for pain killer injection at rewari stn   no one arrived its urgent matter
62,5,"@RailMinIndia  Train no: 12017. Pnr: 2646724070. Reserved 2 tckts, 1 wtng. If only chair seats, then why allow waiting in shatabdi trains.",train no  pnr  reserved  tckts  wtng if only chair seats then why allow waiting  shatabdi trains
63,0,"@RailMinIndia @sureshpprabhu pnr no: 8747892216,train no : 22981, Coach:S7, All Fan is not working in coach S7, mercury is too high,plz help",pnr no train no   coachs all fan  not working  coach s mercury  too highplz help
64,5,@RailMinIndia tried tatkal booking for Delhi Goa Rajdhani at Jalandar city railway station but was not supported by the staff,tried tatkal booking for delhi goa rajdhani at jalandar city railway station  was not supported by the staff
65,5,"@sureshpprabhu @RailMinIndia i m hvng ac with irctc &amp; today i ws loged in at 8am,i hv seen da within 8.01 am all ac tickets r sold.",i m hvng ac with irctc amp today i ws loged  at ami hv seen da within  am all ac tickets r sold
66,4,"@RailMinIndia @sureshpprabhu incorrect TDR claim prcsd..rqst hve a look TDR no. 100000105731626, train 3+ hr late https://t.co/BBStWoiDpe",incorrect tdr claim prcsdrqst hve a look tdr no  train  hr late httpstcobbstwoidpe
67,4,"@RailMinIndia sir,train is 4 hrs late .train no is 15623.I have also to attend the train guwahaty naharlagun intercity express for itanagar.",sirtrain   hrs late train no  i have also to attend the train guwahaty naharlagun intercity express for itanagar
68,5,@sureshpprabhu @RailMinIndia Train no. 12344 Coach B3. TT accepted bribe &amp; allotted seats to W/L passengers instead of RAC seats.@gm_nfr,train no  coach b tt accepted bribe amp allotted seats to wl passengers instead of rac seats
69,7,@RailMinIndia @RahmanAnsariBOI @drmlko25 Kindly look into this,kindly look into this
70,5,@sureshpprabhu @RailMinIndia @narendramodi screen img @06.46 am 09.06.2016 FYR. No TatkaL quota without opng. GREAT! https://t.co/8YpfwlbzRt,screen img  am  fyr no tatkal quota without opng great httpstcoypfwlbzrt
71,6,@RailMinIndia @rajtoday @Akkibhatkar @Shrikant2025 @ThaneMt @thane_now @MumbraKiAwaam @PiyushGoyal @mumbairailusersâ¦ https://t.co/jLmGKbbWyO,httpstcojlmgkbbwyo
72,4,RT @KARailway: Provide 1min stoppage for Karnataka Sampark Kranthi at #Haveri @DrmMys @GMSWR @RailMinIndia @PiyushGoyalOffcâ¦ ,rt  provide min stoppage for karnataka sampark kranthi at haveri
73,4,"@RailMinIndia ????? ???? 22415 , current location ????????? , B6 coach , AC ???? ?? ???, ??? ??? ??? ????",current location   b coach  ac
74,5,@RailMinIndia amount debited but reservation failed. Request support  and pay back of entire amount https://t.co/9pH2Vft28L,amount debited  reservation failed request support  and pay back of entire amount httpstcophvftl
75,6,@sureshpprabhu Pls consider having more nos western toilets in 2/3 Ac coaches as many elderly travel who hv  problems. @RailMinIndia Thnx,pls consider having more nos western toilets   ac coaches as many elderly travel who hv  problems  thnx
76,5,@sureshpprabhu @RailMinIndia I am a mother travelling with a 6 month kid is given an upper berth instead of providing the details of baby.,i am a mother travelling with a  month kid  given an upper berth instead of providing the details of baby
77,6,@sureshpprabhu @RailMinIndia thanks for give attention on meerut 2 saharanpur railway line ..,thanks for give attention on meerut  saharanpur railway line
78,6,@RailMinIndia @sureshpprabhu many will be benifited thanks a lot sir,many will be benifited thanks a lot sir
79,0,@RailMinIndia  traveling in 12506 dt 11/06/16  in S3 toilets fully dirty and no water in toiletKindly arrange help urgentlyPNR 264-7351440,traveling   dt    s toilets fully dirty and no water  toiletkindly arrange help urgentlypnr
80,4,@RailMinIndia train time changed not informed family stuck in Mangalore. Pls add time  to sms https://t.co/38vnoZVOHC,train time changed not informed family stuck  mangalore pls add time  to sms httpstcovnozvohc
81,5,@RailMinIndia @sureshpprabhu I had heard that irctc will not charge Service charge from 1/6/16 on online ticket but u r still deducting!!!!!,i had heard that irctc will not charge service charge from  on online ticket  u r still deducting
82,5,"@RailMinIndia tatkal service is d biggest garbage. Plz close this service,@11:05 website is not working,showing an error.",tatkal service  d biggest garbage plz close this service website  not workingshowing an error
83,5,@RailMinIndia @sureshpprabhu I got my ticketThanku  problem solved by CERS Bilimora PRS. I withdraw my complaint.. https://t.co/TKisGN6uNY,i got my ticketthanku  problem solved by cers bilimora prs i withdraw my complaint httpstcotkisgnuny
84,5,"tt declining to accept the college id a true id , higher authorities do act pnr 4512791357",tt declining to accept the college id a true id  higher authorities do act pnr
85,0,"@RailMinIndia I am traveling by train no 12590 coach no S-8, fans are not working i had told this  at last station but no one attended.",i am traveling by train no  coach no s fans are not working i had told this  at last station  no one attended
86,4,@RailMinIndia concern over the late running of 14205 n 14206. Never reaches in time at either of station. Pl check ur data. A real concern,concern over the late running of  n  never reaches  time at either of station pl check ur data a real concern
87,0,"@RailMinIndia travelling in train no 18623,Pnr 6252708712 1st class b coach, paid around 1700,  AC is not working properly@sureshpprabhu",travelling  train no pnr  st class b coach paid around   ac  not working properly
88,5,@RailMinIndia How it possible in Tatkal that all the 256 Available Garib Rath seats r booked within 1.5 min.? Is there any hidden tricks?,how it possible  tatkal that all the  available garib rath seats r booked within  min   any hidden tricks
89,6,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it toâ¦ ,rt  why   procuring congress mouthpiece national herald priced a hefty rs piece amp providing it to
90,5,"@sureshpprabhu Sir, need ur kind assistance. A cancer patient hs a tatkal ticket of status CKWL/19,20. Can u plz do something? @RailMinIndia",sir need ur kind assistance a cancer patient hs a tatkal ticket of status ckwl can u plz do something
91,3,@RailMinIndia Hello sir mai is time malwa express train number 12919 me hu abhi vendor se khane ke rate pucha usneâ¦ https://t.co/fJBoC3R5yR,hello sir mai  time malwa express train number  me hu abhi vendor se khane ke rate pucha usne httpstcofjbocryr
92,4,@RailMinIndia Pls confirm whn we will reach as we need to attend the function and if it is late schedule arrival at Barelliye,pls confirm whn we will reach as we need to attend the function and if it  late schedule arrival at barelliye
93,4,@RailMinIndia Travel wth my mother can't walk properly. Can the PTB stoppage be extended by 2 mins PNR No. :2118501258Train No. 12618.,travel wth my mother cant walk properly can the ptb stoppage be extended by  mins pnr no train no
94,1,"@RailMinIndia  Sir, We lost a mobile with bearing No 9442455386 while travelling in Pothigai express Train No 12661 today at 5.15 am",sir we lost a mobile with bearing no  while travelling  pothigai express train no  today at  am
95,6,@RailMinIndia @drmnfr_lmg @IR_ENHM till now no action has been taken,till now no action has been taken
96,7,"RT @irctcwestzone: @RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",rt    inconvenience regretted matter  being taken up for further necessary action
97,5,@RailMinIndia I ask city police constable allowed without ticket and without authority in any coach in train,i ask city police constable allowed without ticket and without authority  any coach  train
98,6,"@RailMinIndia @SRailwayIndia Janani Sewa launched-Infant food now available at NVRR Platform-2,Palakkad Jn. https://t.co/fAS6JdTbgu",janani sewa launchedinfant food now available at nvrr platformpalakkad jn httpstcofasjdtbgu
99,0,@RailMinIndia  Dear sir...AC of sabarmati express is not working since last 4 hours.. Please do the needful.PNR 2864717564,dear sirac of sabarmati express  not working since last  hours please do the needfulpnr
100,5,@RailMinIndia there is no any intimation by railway about the tatkal ticket cancelation PNR n-2319127483 Trn n12430 96964500028004198641,no any intimation by railway about the tatkal ticket cancelation pnr n trn n
101,5,"@RailMinIndia sir my train ticket is not comform from Abu Road to Mumbai, my mother is sick, plz help sirPNR NO 2217892889DOJ 9.6.16",sir my train ticket  not comform from abu road to mumbai my mother  sick plz help sirpnr no doj
102,5,@RailMinIndia Sir...........I am trying to make tickets from new delhi to darbhanga(Bihar) from last week not getting confirm.please help,siri am trying to make tickets from new delhi to darbhangabihar from last week not getting confirmplease help
103,3,@sureshpprabhu @RailMinIndia  sir train no 12488 have no Pantry Car....and important thing is that it is long route train....,sir train no  have no pantry carand important thing  that it  long route train
104,5,@RailMinIndia got double tatkal tickets cnfrmd through same Login costing 12k technical issue costed double[IRCTC #3515189] @drmsecunderabad,got double tatkal tickets cnfrmd through same login costing k technical issue costed doubleirctc
105,3,"@RailMinIndia @sureshpprabhu our pnr is 8403479266 food is pathetic, water is not cool, cold drings is warm and sandwitch is stale....",our pnr   food  pathetic water  not cool cold drings  warm and sandwitch  stale
106,6,"@RailMinIndia Thanks for UTS app for facilitating hassle free travel, but it's good to provide training for TC's also.@BhargavaTadi",thanks for uts app for facilitating hassle free travel  its good to provide training for tcs also
107,1,hanging chains of the middle berth broken  pnr 4512791357,hanging chains of the middle berth broken  pnr
108,4,@sureshpprabhu @RailMinIndia if you have delayed for me then thank you so muchBoarded on train thank you so much again,if you have delayed for me then thank you so muchboarded on train thank you so much again
109,0,@sureshpprabhu @RailMinIndia @gmner_gkp @DRM_ASN Train 15047  light are not working passengers are suffering #Help https://t.co/6fnIJV8Vga,train   light are not working passengers are suffering help httpstcofnijvvga
110,5,@RailMinIndia PNR NO. 6107451949,pnr no
111,6,@RailMinIndia... security lags at delhi sarai Rohilla Rly stn... No checking... Xray scnr ws der but no body to operate that,security lags at delhi sarai rohilla rly stn no checking xray scnr ws der  no body to operate that
112,4,@sureshpprabhu @RailMinIndia booked ticket for 14312 ADI to JP. Train is late by more than 8 hrs. Want to cancel the reservn bt not allowng,booked ticket for  adi to jp train  late by more than  hrs want to cancel the reservn bt not allowng
113,0,@RailMinIndia @sureshpprabhu 18546 East cost express sleeper class S9 toilet is too smelling from source station.,east cost express sleeper class s toilet  too smelling from source station
114,4,@RailMinIndia unable to trace my Parcel from delhi. I m from cbe. Parcel off staff have no idea whether material loaded or not. Wat do i do,unable to trace my parcel from delhi i m from cbe parcel off staff have no idea whether material loaded or not wat do i do
115,5,14316 TTE comes only after hapur stn when majority of ticketless passengers have deboarded. It's useless to buy ticâ¦ https://t.co/aNSeZwgOwT,tte comes only after hapur stn when majority of ticketless passengers have deboarded its useless to buy tic httpstcoansezwgowt
116,2,@RailMinIndia we are traveling in 19806 we have child who is vomiting much and water is not in any coach. Plz fill water in coaches and help,we are traveling   we have child who  vomiting much and water  not  any coach plz fill water  coaches and help
117,6,@RailMinIndia @khushalvakharia Thatâs poor railways.poor very poor.,thats poor railwayspoor very poor
118,0,@RailMinIndia sir ye sab hal habibaganj station (m.p) Bhopal ka hai toilet ka hai https://t.co/qXotLh1TtX,sir ye sab hal habibaganj station mp bhopal ka hai toilet ka hai httpstcoqxotlhttx
119,0,"@RailMinIndia @sureshpprabhu PNR - 6756068777, AC not working, dirty towel and pillow cover.",pnr   ac not working dirty towel and pillow cover
120,0,@RailMinIndia - fan not working on 12673 Cheran Express S11 70,fan not working on  cheran express s
121,5,"@RailMinIndia I'm Cancer Pt When I booked   tkt fr checkup with my brother as escort,they say no possiblities of tkt fr my daugh 6yr(1/2 tkt",im cancer pt when i booked   tkt fr checkup with my brother as escortthey say no possiblities of tkt fr my daugh yr tkt
122,4,@RailMinIndia @sureshpprabhu I'm a passenger in Aleppey-Chennai Superfast train. Hoping to catch at least last bus. :(#indianrailwaydelay,im a passenger  aleppeychennai superfast train hoping to catch at least last bus indianrailwaydelay
123,3,"@RailMinIndia Dear sir, The food served in most of shatabdi trains is substandard ,dal and paneer is tasteless.",dear sir the food served  most of shatabdi trains  substandard dal and paneer  tasteless
124,0,@RailMinIndia there is huge huge scope to improve #train bathroom.. they r extremely dirty &amp; spread germs @sureshpprabhu #mumbai #india,huge huge scope to improve train bathroom they r extremely dirty amp spread germs  mumbai india
125,3,@RailMinIndia @sureshpprabhu at patna jn pf- 3 shop exprss food delvry chargng 20 rs for 15 rs water bottle.pls take action. PNR:6553173362,at patna jn pf  shop exprss food delvry chargng  rs for  rs water bottlepls take action pnr
126,1,@RailMinIndia Train about to arrive window clerk  Sadhana Sharma goes missing https://t.co/IowsfPtApN,train about to arrive window clerk  sadhana sharma goes missing httpstcoiowsfptapn
127,5,"@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc If your clerk can give tickets than why he is not giving, why u advertisiâ¦ https://t.co/teieqXvILl",if your clerk can give tickets than why he  not giving why u advertisi httpstcoteieqxvill
128,5,"@RailMinIndia Sir i m ankit singh previous day i had booked a ticket in tatkal quota but i get wt list please help me, Pnr no 6453141801",sir i m ankit singh previous day i had booked a ticket  tatkal quota  i get wt list please help me pnr no
129,1,"@RailMinIndia @AbhayOjhaIn @atulmishrag1981 Sir,said missing person could not be traced despite best effort.Pl lodge missing report with GRP",sirsaid missing person could not be traced despite best effortpl lodge missing report with grp
130,4,@RailMinIndia PNR4740479198 coaches D1 and D2 are missing in the train. Please check it. Because of this I had to miss the train,pnr coaches d and d are missing  the train please check it because of this i had to miss the train
131,4,@RailMinIndia I have a booking in Train Number 07006 RXL-HYB special from Gaya but when I want to see the current sâ¦ https://t.co/iI4vB2JJ8S,i have a booking  train number  rxlhyb special from gaya  when i want to see the current s httpstcoiivbjjs
132,5,"@RailMinIndia Now, refund of ?780 only will be credited to my account soon, where is balance amount of ?143?Why this much of amount will...",now refund of  only will be credited to my account soon where  balance amount of why this much of amount will
133,7,"@DRMbhopal @RailMinIndia @sanjaygupta2012 sorry for inconvenience ,matter noted to @OPTGBSL",sorry for inconvenience matter noted to
134,4,@drm_apdj @RailMinIndia 12378 really shameful almost after 1 he train has departed from source and in 1st tweet traâ¦ https://t.co/lPUA5R1kqf,really shameful almost after  he train has departed from source and  st tweet tra httpstcolpuarkqf
135,6, User id: macrohit Date of booking : 28-11-17,user id macrohit date of booking
136,1,"@RailMinIndia I'm travelling in 64563 at present, no security man here nd gents are travelling in ladies coach. Train is abt 2 reach morinda",im travelling   at present no security man here nd gents are travelling  ladies coach train  abt  reach morinda
137,3,"@RailMinIndia , availability is less and requirement is high, but food vendor is not provoded proper response. Every item 5,10 rupees extra",availability  less and requirement  high  food vendor  not provoded proper response every item  rupees extra
138,6,Scenic #IndianRailways near #Igatpuri on #Mumbai - #Nasik route. #ThullGhat #KamayaniExpress @RailMinIndiaâ¦ https://t.co/nnkI29oaEL,scenic indianrailways near igatpuri on mumbai  nasik route thullghat kamayaniexpress  httpstconnkioael
139,5,@RailMinIndia Unable to file TDR of my PNR NO - 8535014323 in last hour. Allowing wrong thing for TC,unable to file tdr of my pnr no    last hour allowing wrong thing for tc
140,0,"@RailMinIndia travlng by 12328 trn Bi coach, surprised to find one toilet under lock n key. As such no word of cleanliness prevail in train",travlng by  trn bi coach surprised to find one toilet under lock n key as such no word of cleanliness prevail  train
141,6,@RailMinIndia i feel like it will work as intercity trains carry maximum job proffessionals who have to reach office neat and clean,i feel like it will work as intercity trains carry maximum job proffessionals who have to reach office neat and clean
142,2,@RailMinIndia need medical assistance in train 12554 pnr is 2417720180,need medical assistance  train  pnr
143,3,many passengrs pnr 4512791357 feeling stomach upset after dinner frm railways pantry ,many passengrs pnr  feeling stomach upset after dinner frm railways pantry
144,5,@sureshpprabhu trying to book a tatkal ticket from last 3 day but daily same problem exist. Please do some needful @RailMinIndia,trying to book a tatkal ticket from last  day  daily same problem exist please do some needful
145,6,@drmdelhi @RailMinIndia @srdomchgdli No reply..,no reply
146,0,"@sureshpprabhu @RailMinIndia .. be it sleeper or AC, broken windows, rats and cockroaches moving freely, dirty old curtains and bed... (4)",be it sleeper or ac broken windows rats and cockroaches moving freely dirty old curtains and bed
147,3,@RailMinIndia @sureshpprabhu at TNDE railway station water cooler not working and not a single source of water a hell of service In 45C,at tnde railway station water cooler not working and not a single source of water a hell of service  c
148,0,@RailMinIndia it's 20:40 train is in kota but no one contacted or solves the Airconditioner matter in 12218 A1,its  train   kota  no one contacted or solves the airconditioner matter   a
149,1,@RailMinIndia When Evrythng of Railways is going 2 d Next Level y not Security Guard?Ur Fairly Place Kol ofc Securities r rude n misbehaved,when evrythng of railways  going  d next level y not security guardur fairly place kol ofc securities r rude n misbehaved
150,7,"@RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",inconvenience regretted matter  being taken up for further necessary action
151,4,RailMinIndia @bbiswajit88 Details not available pls.,railminindia  details not available pls
152,5,"@RailMinIndia No one is able to make TATKAL TICKETS except brokers at JPG station,take an immediate action now. railway staffs are with them",no one  able to make tatkal tickets except brokers at jpg stationtake an immediate action now railway staffs are with them
153,6,RT @RailMinIndia: Passenger traffic has also shown significant growth in Reserved &amp; suburban segments.Over  5Cr additional passengersâ¦ ,rt  passenger traffic has also shown significant growth  reserved amp suburban segmentsover  cr additional passengers
154,4,"@DRMbhopal @RailMinIndia @BhusavalDivn Train departed from itarsi but concerned is delay, what if I miss flight dueâ¦ https://t.co/UyQIYzIFcJ",train departed from itarsi  concerned  delay what if i miss flight due httpstcouyqiyzifcj
155,7,@DArpitBhargava @WesternRly @sureshpprabhu @PiyushGoyal @IndianRailMedia @RailMinIndia @DRM_Agra  kindly look into this,kindly look into this
156,0,@RailMinIndia PNR-2118939314Trn:12616Dt:10-06-2016Frm NGP to CD AC IS NOT WORKING FROM LAST HALF &amp; HOUR,pnrtrndtfrm ngp to cd ac  not working from last half amp hour
